,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
789,66,7,0,0,15,4,39,5,4,0,13,7,4,2.5,0,12,3,0,0,0,0,0,3,9,25,59800,http://ameli.remboursement.fr.webhelpwussl.com/free/sm/os/ve/PortailAS...,1
790,15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,145,11,54,35136,http://www.quaron.com/,0
791,24,1,0,0,1,0,10,2,0,0,6,4.5,0,0,0,13,0,0,0,0,0,0,21,3,229,274300,http://hymesh.net/listfinancial,1
792,11,2,0,0,1,0,10,3,0,0,3,2.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.kw.com/,0
793,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,196,8,580,-1,http://www.wonderfulflora.com/,0
795,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,157,11,1136,90045,http://www.sustainablecup.com/,0
796,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,83,1,361,-1,http://www.businessmate.org/,0
797,47,6,0,0,17,2,18,3,2,0,10,5.333333333,7,7,0,12,4,0,0,0,0,0,17,7,172,-1,http://www.xpressbuzz.com/uploads/alibaba/index.php...,1
798,30,3,0,0,5,1,11,3,1,0,4,3,3,3,0,14,1,0,0,0,0,0,-1,-1,-1,-1,http://aeep.com.au/SGD/pvalidate.html,1
799,32,2,0,0,16,3,16,3,3,0,9,4.666666667,4,4,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://hdmombaca.com.br/lite/dpbx/dpbx/,1
800,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,158,10,58,-1,http://www.capecoralscreen.com/,1
801,42,2,0,0,25,1,17,3,1,0,6,5,23,23,0,0,0,0,0,0,0,0,262,1,269,-1,http://kushkm.tripod.com/History-of-the-Olympics/,0
802,28,2,0,0,1,0,27,3,0,0,16,8.333333333,0,0,0,0,0,0,0,0,0,0,113,7,166,-1,http://random.farkimiztarzimiz.com/,1
803,31,4,0,0,10,1,13,4,1,0,3,2.5,8,8,0,8,1,0,0,0,0,0,-1,-1,-1,-1,http://www.ucl.ac.uk/~uctytho/ted5.htm,0
804,19,3,0,0,1,0,18,4,0,0,7,3.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.daoheng.com.hk/,0
805,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,198,6,241,-1,http://www.hotlinuxjobs.com/,0
807,22,2,0,0,1,0,21,3,0,0,10,6.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://editor.altervista.org/,0
808,27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,205,11,6225,32258,http://www.novelldesignstudio.com/,0
809,66,5,0,0,12,2,20,2,2,0,17,9.5,7,4.5,0,6,0,0,28,1,22,0,-1,-1,-1,-1,http://interfacemedicare.ma/modules/01/others?rand=13InboxLightaspxn.1...,1
810,47,5,0,0,17,1,14,2,1,0,10,6.5,15,15,0,6,1,0,10,1,3,0,8,16,239,-1,http://stuffatweb.com/sign_in_surveys/ii.php?email=...,1
811,27,2,0,0,4,1,13,2,1,0,9,6,2,2,0,10,1,0,0,0,0,0,40,8,31,11411,http://kwaderrec.com/gb/index2.htm,1
812,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,234,6,187,700001,http://www.anandabazar.com/,0
813,66,6,1,1,9,1,37,4,1,0,21,8.5,7,7,0,20,3,0,0,0,0,0,139,5,216,-1,http://www.verification-accounts.darotob.com/Sign-in/15c31cb36dc03867d...,1
814,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,173,19,146,-1,http://www.meetapandit.com/,0
815,47,4,0,0,1,0,11,2,0,0,7,5,0,0,0,35,3,0,0,0,0,0,7,5,214,400000,http://cqdj120.com/dbd5b94c7985e3c8bdacf9ec5ac637b8...,1
816,19,2,0,1,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,214,2,1110,-1,http://www.paper-clip.com/,0
817,66,5,1,0,35,4,12,2,4,0,8,5.5,13,7.5,0,12,1,0,7,1,0,0,21,3,5,85016,http://mtadumps.com/wp-admin/css/purchaseorder/verify/document.php?fid...,1
818,16,1,0,0,1,0,15,2,0,0,10,7,0,0,0,0,0,0,0,0,0,0,78,6,185,126,http://8thorleans.info/,1
819,19,1,0,0,1,0,14,2,0,0,10,6.5,0,0,0,4,0,0,0,0,0,0,111,9,91,97201,http://gowebtools.com/bobs,1
820,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,200,4,247,110003,http://www.niua.org/,0
821,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,214,2,367,-1,http://www.cprw.com/,0
822,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,143,13,6,-1,http://www.volcanicacoffee.com/,0
823,66,6,0,2,9,1,41,4,1,0,26,9.5,7,7,0,16,3,0,0,0,0,0,19,5,576,98083,http://www.service-paypal-information.sweddy.com/SERVICE/dakwx0aognu4y...,1
824,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.jvrb.org/,0
825,28,2,0,2,1,0,27,3,0,0,13,8.333333333,0,0,0,0,0,0,0,0,0,0,86,-1,400,-1,http://touring-india.chez-alice.fr/,0
827,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,124,8,1221,551,http://www.mancityfans.net/,0
829,24,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,8,0,0,0,0,0,0,49,11,38,-1,http://www.itworms.com/Dropbox1,1
830,19,2,0,0,6,1,13,3,1,0,6,3.666666667,4,4,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://finsys.com.pk/view/,1
831,28,3,0,0,5,1,13,3,1,0,5,3.666666667,3,3,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://math.usask.ca/fvk/Valth.html,0
832,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,164,4,665,-1,http://www.manpowerfromindia.com/,0
833,16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,84,24,4,-1,http://thedailymba.com/,0
834,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,91,5,218,60318,http://www.liverpoolfcnews.net/,0
835,38,1,0,0,18,2,20,2,2,0,16,9.5,9,7.5,0,0,0,0,0,0,0,0,17,7,141,-1,http://fiberglassmeshes.com/doc_drive/source/,1
836,85,3,0,0,22,4,25,3,4,0,17,7.666666667,9,4.25,0,38,1,4,0,0,0,0,123,9,98,345,http://www.oldfootballshirts.com/en/teams/l/leicester/old-leicester-football-shirts-t33.html,0
837,24,3,0,0,4,1,12,3,1,0,4,3.333333333,2,2,0,8,1,0,0,0,0,0,200,4,246,38090,http://www.ruet.com/us/jack.asp,0
838,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,184,8,144,-1,http://www.resumagic.com/,0
839,16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,230,58,475,-1,http://winelibrary.com/,0
840,38,3,0,0,13,1,15,3,1,0,6,4.333333333,11,11,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://users.skynet.be/HL-Editions/index.html,0
841,51,6,1,0,14,1,34,4,1,0,19,7.75,12,12,0,3,3,0,0,0,0,0,95,1,331,510178,http://www.fbcancelblockcode20.fnhost.org/confirmation/...,1
842,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,212,4,259,-1,http://www.resumewizards.com/,0
843,66,5,0,0,19,2,12,3,2,0,5,3.333333333,8,8,0,35,3,0,0,0,0,0,-1,-1,-1,-1,http://www.mista.eu/phpThumb/document/222a7e13bf4c4bbc349c5d3dd89fa456...,1
844,42,6,0,0,14,1,13,2,1,0,9,6,12,12,0,15,4,0,0,0,0,0,13,11,43,-1,http://greenaura.net/appz.westpac/westpac.appz...,1
845,17,3,0,0,1,0,16,4,0,0,5,3.25,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.gaden.com.tw/,0
846,44,5,0,0,19,2,22,3,2,0,14,6.666666667,9,8,0,3,3,0,0,0,0,0,81,15,54,48,http://www.redboxtraining.com/Tutorials/setting/...,1
847,45,4,0,0,19,4,23,2,4,0,19,11,6,3.5,0,3,3,0,0,0,0,0,72,60,1005,-1,http://quilterconstruction.com/readme/doc/2/tech/...,1
848,28,2,0,0,13,2,15,3,2,0,8,4.333333333,6,5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://uniquems.com.do/glaw/Gdoccc/,1
849,59,8,1,0,17,3,29,5,3,0,8,5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://secure.square.logindqx.usa.cc/account/app/svc/login.html...,1
850,30,2,0,0,1,0,13,2,0,0,10,6,0,0,0,16,1,0,0,0,0,0,-1,-1,-1,-1,http://biokemiker.dk/indwellsfago.php,1
851,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,222,6,207,-1,http://www.euclidrecords.com/,0
852,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,257,43,629,-1,http://www.waterloorecords.com/,0
853,27,2,0,0,10,2,17,3,2,0,10,5,4,3.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.negotiatio.eu/yah/yaho/,1
854,66,4,0,0,26,3,31,2,3,0,27,15,11,7.333333333,0,9,3,0,0,0,0,0,25,-1,22,-1,http://autoservicioslubrirepuestos.com/wp-includes/pomo/alibaba/Alibab...,1
856,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,258,6,174,85635,http://www.lauterbach.com/,0
857,66,8,1,0,33,3,14,4,3,1,3,2.75,14,9.666666667,0,19,5,0,0,0,0,0,-1,-1,-1,-1,http://192.185.216.92/~pastorsilvano/Neworder/alibaba/login.alibaba.co...,1
859,24,2,0,0,12,1,12,3,1,0,5,3.333333333,10,10,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://jamit.com.au/worksheets/,0
860,45,5,0,0,11,1,22,2,1,0,18,10.5,9,9,0,12,4,0,0,0,0,0,80,4,238,-1,http://thesmartgirlsguide.com/documents/index.php...,1
861,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,208,8,137,95476,http://www.taylorandnorton.com/,0
863,56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.imoxl.usa.cc/account/app/svc/login.html...,1
864,66,5,0,0,17,2,25,3,2,0,17,7.666666667,9,7,0,24,3,0,0,0,0,0,44,16,268,-1,http://www.cloverhillcapital.com/admin/garyspeed/9aa5dd4d761d14c2cdfed...,1
865,52,5,0,0,8,1,25,2,1,0,21,12,6,6,0,19,4,0,0,0,0,0,26,10,68,-1,http://prioritybookkeepingct.com/Follow/verification.php...,1
866,42,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,20,0,2,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Church-Turing_thesis,0
867,16,1,0,0,7,1,9,2,1,0,6,4,5,5,0,0,0,0,0,0,0,0,66,6,178,-1,http://lindos.pl/Zone1/,1
868,53,4,0,0,40,4,10,2,4,0,6,4.5,13,8.75,0,3,3,0,0,0,0,0,90,6,461,-1,http://saalas.org/administrator/templates/hathor/dropbox/...,1
869,56,6,0,0,16,3,21,3,3,0,9,6.333333333,7,4,0,19,4,0,0,0,0,0,118,2,80,-1,http://gdrivee.imxsports.com/GoogleD/dld/us/verification.php...,1
872,66,5,1,4,1,0,48,3,0,0,40,15.33333333,0,0,0,17,3,2,0,0,0,0,10,2,290,-1,http://www.operation0acc-log-in-safesecure-a1bbiaba.com/vip_user_valid...,1
873,49,3,0,0,19,2,13,3,2,0,4,3.666666667,9,8,0,17,1,1,0,0,0,0,-1,-1,-1,-1,http://math.ucsd.edu/~driver/231-02-03/lecture_notes.htm,0
874,66,6,1,1,9,1,37,4,1,0,21,8.5,7,7,0,20,3,0,0,0,0,0,139,5,216,-1,http://www.verification-accounts.darotob.com/Sign-in/5b60fcc60b36d1c3d...,1
875,66,5,0,0,17,2,24,3,2,0,17,7.333333333,11,7,0,25,3,0,0,0,0,0,-1,-1,-1,-1,http://www.crestemcudragoste.ro/wp-includes/css/b7d82e157686e68500eced...,1
876,85,3,0,0,22,4,25,3,4,0,17,7.666666667,9,4.25,0,38,1,4,0,0,0,0,123,9,98,345,http://www.oldfootballshirts.com/en/teams/l/liverpool/old-liverpool-football-shirts-t10.html,0
877,58,6,0,0,29,4,16,3,4,0,9,4.666666667,8,6,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://www.nalborzco.ir/BU/wp-admin/comcast/comcast/index2.php...,1
878,25,3,0,0,10,2,15,4,2,0,4,3,4,3.5,0,0,0,0,0,0,0,0,-1,41,-1,-1,http://www.hkbu.edu.hk/~ppp/bth/,0
879,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,218,10,53,19087,http://www.employment911.com/,0
880,45,5,0,0,23,2,15,3,2,0,7,4.333333333,11,10,0,7,3,0,0,0,0,0,7,5,228,98083,http://www.haflaat.com/wp-includes/SimplePie/Data...,1
881,43,4,0,0,21,4,14,4,4,0,3,2.75,6,4,0,8,1,0,0,0,0,0,-1,-1,-1,-1,http://www.cs.cmu.edu/Groups/AI/html/faqs/top.html,0
883,66,5,0,0,13,2,26,3,2,0,18,8,6,5,0,27,3,0,0,0,0,0,25,-1,35,-1,http://www.constructoraluvial.com/images/home/71969edc514054cc7b10cf17...,1
884,44,6,1,1,12,2,18,3,2,0,10,5.333333333,5,4.5,0,14,4,0,0,0,0,0,24,0,668,-1,http://www.shape-love.org/azziu/line/verify.html...,1
885,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,182,70,1165,110045,http://www.sainiestate.com/,0
887,36,2,1,3,1,0,35,3,0,0,28,11,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://web-maintenance-account-page.esy.es/,1
888,66,5,0,0,24,1,20,3,1,0,12,6,22,22,0,22,3,0,0,0,0,0,3,9,79,84097,http://www.monfactufree.com/freemobilemoncompte589/73677fc90f6b57e994b...,1
889,25,3,0,0,1,0,15,3,0,0,8,4.333333333,0,0,1,9,1,0,0,0,0,0,-1,-1,-1,-1,http://www.dropbox0.tk/index.cgi,1
891,29,1,0,0,18,2,11,2,2,0,7,5,10,7.5,0,0,0,0,0,0,0,0,16,20,356,-1,http://ejvoice.com/863d7wwwww/casts/,1
892,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,201,3,291,-1,http://www.marktwendell.com/,0
893,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,153,3,710,-1,http://www.mostlychocolate.com/,0
894,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,170,22,328,-1,http://www.silvertipstea.com/,0
895,32,3,1,0,9,1,13,3,1,0,6,3.666666667,7,7,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.bpavto.si/modules/update.htm,1
896,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,212,76,302,-1,http://www.primewines.com/,0
897,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,169,34,824,12730,http://www.caswellscoffee.com/,0
898,35,3,0,1,1,0,30,4,0,0,9,6.75,0,0,0,4,0,0,0,0,0,0,-1,-1,-1,53113,http://w9udyd7n7.homepage.t-online.de/hase,1
900,66,5,0,0,6,1,19,3,1,0,12,5.666666667,4,4,0,41,3,5,0,0,0,0,-1,-1,-1,-1,http://bandaremidos.com.br/usaa/inet-logon-ent-logon-logon-redirectjsp...,1
901,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,218,22,1159,-1,http://www.teashop.net/,0
902,60,8,1,0,17,3,30,5,3,0,9,5.2,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://secure.square.logindqxc.usa.cc/account/app/svc/login.html...,1
903,29,2,0,0,16,2,13,3,2,0,5,3.666666667,7,6.5,0,0,0,0,0,0,0,0,175,5,199,-1,http://www.jhs82.com/images/dropbox/,1
904,66,6,0,0,15,2,26,3,2,0,19,8,7,6,0,9,1,0,16,1,9,0,-1,-1,-1,-1,http://firstclasstransfers.com.au/trade/alibaba/index.php?email=abuse@...,1
905,40,3,0,0,17,2,23,4,2,0,6,5,9,7,0,0,0,0,0,0,0,0,259,77,353,94089,http://sports.groups.yahoo.com/group/nzcricket/,0
906,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,106,2,263,-1,http://www.ahmedabadmirror.com/,0
908,66,7,0,0,26,2,20,4,2,0,9,4.25,16,11.5,0,20,4,1,0,0,0,0,-1,-1,-1,-1,http://www.indusmack.com.br/Service/ID-2036584618311/Clients.Impot-Gou...,1
909,19,2,0,0,9,1,10,3,1,0,3,2.666666667,7,7,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.uwo.ca/olympic/,0
910,22,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://tulsagrad.ou.edu/csdc/,0
911,61,10,0,0,6,1,43,7,1,0,15,5.285714286,4,4,0,12,4,0,0,0,0,0,55,5,211,-1,http://usaa.com.inet.ent.logon.intersurfcables.com/Usaa/index.php...,1
912,66,5,0,0,17,2,24,3,2,0,17,7.333333333,11,7,0,25,3,0,0,0,0,0,-1,-1,-1,-1,http://www.crestemcudragoste.ro/wp-includes/css/971dbee6acffa1e929add4...,1
913,64,4,0,0,19,1,10,2,1,0,6,4.5,17,17,0,35,3,0,0,0,0,0,41,79,325,4218,http://kacose.com/davisconstruction/367a41db37afb01f509e387d8c7c36d2...,1
914,66,5,0,0,8,2,19,3,2,0,12,5.666666667,3,2.5,0,39,3,0,0,0,0,0,-1,-1,-1,-1,http://cityofdreams.com.ua/tmp/pa/izrsuqnuv0pq3gny3ebutys00a5whcjnaj3r...,1
915,66,4,0,0,50,4,13,2,4,0,9,6,15,11.25,0,3,3,0,0,0,0,0,78,51,601,-1,http://vdmglobal.com/PDFs/BESTHOTBOKKzz!!/BESTHOTBOKK/hottieGoogledoc/...,1
916,15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,269,7,164,10011,http://www.penton.com/,0
917,66,5,1,0,31,2,11,2,2,0,7,5,18,14,0,10,1,0,14,2,0,0,13,-1,21,97023,http://cosureb.com/wp-content/g8634d010eacf55520/index2.php?login&amp;...,1
918,26,2,0,1,1,0,25,3,0,0,16,7.666666667,0,0,0,0,0,0,0,0,0,0,169,11,37,-1,http://cxzv260ad-system.16mb.com/,1
919,34,1,0,0,19,3,15,2,3,0,11,7,5,5,0,0,0,0,0,0,0,0,17,7,136,-1,http://almomahidin.net/bleed/Zone1/Zone1/,1
920,21,1,0,0,1,0,14,2,0,0,10,6.5,0,0,0,6,0,0,0,0,0,0,4,8,121,-1,http://amerikondo.biz/comdor,1
921,35,3,1,0,11,2,14,3,2,0,7,4,4,4,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://wkgroup.com.ua/logs/cool/Login.html,1
922,41,3,0,0,8,1,21,3,1,0,9,6.333333333,6,6,0,12,1,0,0,0,0,0,246,6,970,-1,http://mathworld.wolfram.com/topics/History.html,0
926,66,5,0,0,14,2,19,3,2,0,8,5.666666667,7,5.5,0,33,3,0,0,0,0,0,-1,-1,-1,-1,http://people.virginia.edu/~rlr5aa/inet/aHR0cHM6Ly93d3cudG9vbHM0bm9vYn...,1
927,38,2,0,1,20,3,18,3,3,0,11,5.333333333,10,5.333333333,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.tu-chemnitz.de/informatik/RA/cchp/,0
928,14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,233,55,1818,-1,http://www.boppy.com/,0
929,28,2,0,0,1,0,27,3,0,0,19,8.333333333,0,0,0,0,0,0,0,0,0,0,227,13,110,-1,http://www.americanprohaircare.com/,0
930,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,216,12,1475,-1,http://www.grapevinewreath.com/,0
931,66,5,0,2,9,1,37,3,1,0,26,11.66666667,7,7,0,20,3,0,0,0,0,0,19,5,576,98083,http://service-paypal-information.sweddy.com/SERVICE/bgh3weso4uifn36as...,1
933,33,2,1,0,4,1,20,2,1,0,16,9.5,2,2,0,9,1,0,0,0,0,0,43,5,452,4218,http://accenttechnosoft.com/22/Login.htm,1
935,20,2,0,0,1,0,16,3,0,0,9,4.666666667,0,0,0,3,0,0,0,0,0,0,-1,-1,-1,-1,http://mundoseco.com.br/tec,1
938,31,3,0,1,1,0,30,4,0,0,20,6.75,0,0,0,0,0,0,0,0,0,0,105,15,305,-1,http://www.manchesterunited-mad.co.uk/,0
939,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,192,12,3,-1,http://www.kremlinencrypt.com/,0
940,9,1,0,1,1,0,7,2,0,0,4,3,0,0,0,1,0,0,0,0,0,0,14,10,-1,-1,http://m-ft.ru/2,1
941,27,2,0,0,9,1,18,3,1,0,10,5.333333333,7,7,0,0,0,0,0,0,0,0,31,5,201,4218,http://www.lipoblack6.com/dropbox/,1
942,48,6,0,3,1,0,35,3,0,0,25,11,0,0,0,12,4,0,0,0,0,0,35,1,347,-1,http://service-pages-images-2016.fulba.com/index.htm...,1
943,46,6,1,0,5,1,28,3,1,0,21,8.666666667,3,3,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://rockdaledrivingschool.com.au/BOA/Signin.htm...,1
944,24,2,0,0,4,1,8,2,1,0,5,3.5,2,2,0,12,1,0,0,0,0,0,-1,22,-1,-1,http://nemik.mx/js/usaaweb2.php,1
945,30,3,0,0,12,2,18,4,2,0,5,3.75,5,4.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.math.wayne.edu/~rrb/cohom/,0
946,32,2,0,0,10,1,10,2,1,0,7,4.5,8,8,0,12,1,0,0,0,0,0,-1,-1,-1,-1,http://aeraria.cl/DoroWebo/ourtime.html,1
948,27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,207,9,117,94588,http://www.compilerconnection.com/,0
950,22,3,0,0,1,0,21,4,0,0,10,4.5,0,0,0,0,0,0,0,0,0,0,194,10,96,-1,http://www.theportico.org.uk/,0
951,66,4,0,0,22,3,23,2,3,0,19,11,6,6,0,21,3,0,0,0,0,0,24,36,740,-1,http://everydayhomecarellc.com/public/images/abonne/194497a1fd6be8408a...,1
952,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,288,84,467,-1,http://www.polaris.com/,0
954,62,8,0,0,37,5,11,3,5,0,4,3,10,6.2,0,14,4,0,0,0,0,0,18,6,563,-1,http://www.osot.pl/php/css/alert/amazon.com/amazon.com/detalis.php...,1
955,66,6,0,0,13,2,21,2,2,0,18,10,6,5,0,9,1,0,23,2,5,0,-1,-1,-1,-1,http://integraconsultores.cl/images/chig/cameo.php?nin1.0&amp;rpsnv=12...,1
956,15,2,0,0,1,0,14,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,252,24,150,95125,http://music.ebay.com/,0
957,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,136,8,110,-1,http://www.bangaloremirror.com/,0
958,47,6,0,0,30,3,14,4,3,1,3,2.75,11,8.666666667,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://192.254.190.13/~fakecucu/bancas/Personals__/...,1
959,66,5,0,0,39,2,24,3,2,0,16,7.333333333,32,18,0,3,3,0,0,0,0,0,2,10,14,14507,http://www.googledriveshare.com/BoFa/e535074b4893bc70dfbccec5857c2ee4/...,1
960,21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,212,28,725,77027,http://lulingcitymarket.com/,0
961,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,200,28,1371,45434,http://www.efluids.com/,0
962,56,5,0,0,33,4,13,2,4,0,9,6,10,7,0,10,4,0,0,0,0,0,45,3,260,187553,http://taylortea.com/wp-content/plugins/akismet/cehe/sis.htm...,1
963,24,2,0,0,1,0,23,3,0,0,12,7,0,0,0,0,0,0,0,0,0,0,262,1,269,-1,http://ranjanviolin.tripod.com/,0
965,27,2,1,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,191,109,335,-1,http://www.luckyclovertrading.com/,0
966,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,161,4,256,-1,http://www.roboticstrends.com/,0
967,16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,175,5,207,-1,http://bigskycandy.com/,0
968,26,2,0,0,10,1,16,3,1,0,8,4.666666667,8,8,0,0,0,0,0,0,0,0,3,9,3,0,http://www.fasonery.net/office15/,1
969,27,1,0,0,7,1,13,2,1,0,9,6,5,5,0,7,0,0,0,0,0,0,29,7,143,2400153,http://mprmoldes.com/cache/dropbox,1
970,20,3,0,0,1,0,19,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.mingshun.com.tw/,0
971,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,174,18,392,-1,http://www.sanmarcocoffee.com/,0
972,63,6,0,0,41,2,19,4,2,0,8,4,32,19,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://122.175.46.128:8081/iTunes/cff55ff958a9a24477d2c227854fac7b/...,1
973,66,7,1,0,7,2,20,4,2,0,8,4.25,2,2,0,9,1,0,30,2,12,2,-1,-1,-1,-1,http://mail.bertovic.com.au/id/uk/index.php?itunes=_connect-run&secure...,1
974,66,5,0,0,21,3,14,3,3,0,7,4,7,5.666666667,0,31,3,0,0,0,0,0,-1,5,-1,3800001,http://www.oxyflow.in/admin/image/gallery/3690111131a9833a7390e0bfea66...,1
976,51,3,0,0,19,2,16,3,2,0,7,4.666666667,9,8,0,16,1,1,0,0,0,0,-1,-1,-1,-1,http://science.nasa.gov/newhome/headlines/ast28may99_1.htm,0
977,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,213,14,288,-1,http://www.careerprousa.com/,0
978,27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,172,56,116,-1,http://www.adventuresincoffee.com/,0
979,26,2,0,0,10,1,16,3,1,0,8,4.666666667,8,8,0,0,0,0,0,0,0,0,230,10,80,-1,http://www.servenet.com/shoptalk/,0
